frame,time_sec,motion_area,crash_flag
1,0.05,9151.0,0
2,0.1,11037.0,0
3,0.15,10426.5,0
4,0.2,11073.0,0
5,0.25,13535.0,0
6,0.3,12300.5,0
7,0.35,11515.0,0
8,0.4,11555.5,0
9,0.45,11379.0,0
10,0.5,10882.0,0
11,0.55,10773.5,0
12,0.6,11767.0,0
13,0.65,11826.5,0
14,0.7,12027.5,0
15,0.75,11318.5,0
16,0.8,12194.5,0
17,0.85,13186.0,0
18,0.9,13836.0,0
19,0.95,13094.0,0
20,1.0,13108.0,0
21,1.05,14854.5,0
22,1.1,13791.0,0
23,1.15,14515.5,0
24,1.2,13943.5,0
25,1.25,13953.5,0
26,1.3,15534.5,0
27,1.35,14315.0,0
28,1.4,14736.5,0
29,1.45,14195.0,0
30,1.5,13051.0,0
31,1.55,13989.5,0
32,1.6,13533.0,0
33,1.65,13771.5,0
34,1.7,13555.5,0
35,1.75,14330.0,0
36,1.8,13815.0,0
37,1.85,15297.5,0
38,1.9,13442.0,0
39,1.95,15866.5,0
40,2.0,15949.5,0
41,2.05,15182.0,0
42,2.1,17343.0,0
43,2.15,17467.5,0
44,2.2,17569.0,0
45,2.25,17817.5,0
46,2.3,17122.5,0
47,2.35,18053.5,0
48,2.4,15975.0,0
49,2.45,18023.5,0
50,2.5,17906.5,0
51,2.55,18602.5,0
52,2.6,17259.5,0
53,2.65,18624.0,0
54,2.7,16672.0,0
55,2.75,18168.0,0
56,2.8,18005.0,0
57,2.85,17654.5,0
58,2.9,17512.5,0
59,2.95,17936.0,0
60,3.0,17664.5,0
61,3.05,18313.0,0
62,3.1,17198.5,0
63,3.15,18168.0,0
64,3.2,19377.5,0
65,3.25,18351.5,0
66,3.3,19887.5,0
67,3.35,19864.5,0
68,3.4,20426.0,0
69,3.45,20393.0,0
70,3.5,20127.0,0
71,3.55,19939.5,0
72,3.6,21307.0,0
73,3.65,22758.0,0
74,3.7,21984.0,0
75,3.75,21066.0,0
76,3.8,21280.5,0
77,3.85,23113.5,0
78,3.9,22821.5,0
79,3.95,22540.0,0
80,4.0,22202.5,0
81,4.05,22257.5,0
82,4.1,22903.5,0
83,4.15,22785.0,0
84,4.2,24050.5,0
85,4.25,24200.0,0
86,4.3,24990.0,0
87,4.35,23674.0,0
88,4.4,24318.0,0
89,4.45,25101.0,0
90,4.5,24941.0,0
91,4.55,23825.5,0
92,4.6,23723.0,0
93,4.65,24761.0,0
94,4.7,23903.0,0
95,4.75,24226.5,0
96,4.8,24860.0,0
97,4.85,24815.5,0
98,4.9,25832.5,0
99,4.95,25191.5,0
100,5.0,25087.5,0
101,5.05,26282.0,0
102,5.1,26688.5,0
103,5.15,28377.0,0
104,5.2,27867.5,0
105,5.25,26768.5,0
106,5.3,28705.0,0
107,5.35,28656.0,0
108,5.4,28767.0,0
109,5.45,29434.0,0
110,5.5,27980.5,0
111,5.55,30132.5,0
112,5.6,29169.5,0
113,5.65,29134.0,0
114,5.7,29455.5,0
115,5.75,30399.5,0
116,5.8,30634.0,0
117,5.85,31915.5,0
118,5.9,30676.0,0
119,5.95,31896.0,0
120,6.0,30831.0,0
121,6.05,30628.5,0
122,6.1,30925.5,0
123,6.15,31420.0,0
124,6.2,30046.0,0
125,6.25,31160.5,0
126,6.3,29094.0,0
127,6.35,29167.5,0
128,6.4,28815.0,0
129,6.45,28777.5,0
130,6.5,28030.0,0
131,6.55,26808.5,0
132,6.6,26114.0,0
133,6.65,27625.0,0
134,6.7,27048.5,0
135,6.75,29860.0,0
136,6.8,30220.5,0
137,6.85,29088.0,0
138,6.9,28776.5,0
139,6.95,27760.0,0
140,7.0,28366.0,0
141,7.05,28721.0,0
142,7.1,29846.0,0
143,7.15,31196.5,0
144,7.2,30093.0,0
145,7.25,29301.0,0
146,7.3,29364.5,0
147,7.35,29565.5,0
148,7.4,29070.0,0
149,7.45,30750.0,0
150,7.5,30862.5,0
151,7.55,31739.5,0
152,7.6,32136.0,0
153,7.65,29913.0,0
154,7.7,29273.0,0
155,7.75,28857.0,0
156,7.8,27578.5,0
157,7.85,29716.0,0
158,7.9,28910.5,0
159,7.95,30692.0,0
160,8.0,30077.0,0
161,8.05,29927.5,0
162,8.1,30510.0,0
163,8.15,29649.5,0
164,8.2,29082.0,0
165,8.25,28998.0,0
166,8.3,28283.0,0
167,8.35,28585.5,0
168,8.4,27536.0,0
169,8.45,27846.5,0
170,8.5,27552.0,0
171,8.55,25972.5,0
172,8.6,26475.0,0
173,8.65,25641.5,0
174,8.7,24808.0,0
175,8.75,24961.5,0
176,8.8,24588.5,0
177,8.85,23485.0,0
178,8.9,22953.5,0
179,8.95,22935.0,0
180,9.0,22991.5,0
181,9.05,22794.5,0
182,9.1,21979.5,0
183,9.15,22667.0,0
184,9.2,23263.5,0
185,9.25,24027.0,0
186,9.3,23935.5,0
187,9.35,23403.5,0
188,9.4,24718.0,0
189,9.45,25826.5,0
190,9.5,23109.0,0
191,9.55,25119.5,0
192,9.6,23494.5,0
193,9.65,24534.0,0
194,9.7,25166.0,0
195,9.75,23242.5,0
196,9.8,25294.0,0
197,9.85,25128.5,0
198,9.9,24234.0,0
199,9.95,25793.5,0
200,10.0,24115.0,0
201,10.05,26100.5,0
202,10.1,26096.5,0
203,10.15,25170.0,0
204,10.2,24476.0,0
205,10.25,23502.0,0
206,10.3,23416.0,0
207,10.35,24222.5,0
208,10.4,22846.0,0
209,10.45,23756.5,0
210,10.5,24775.5,0
211,10.55,24444.5,0
212,10.6,24868.0,0
213,10.65,25066.0,0
214,10.7,24047.0,0
215,10.75,24481.0,0
216,10.8,23686.0,0
217,10.85,22791.5,0
218,10.9,24432.0,0
219,10.95,23533.5,0
220,11.0,22497.5,0
221,11.05,24263.0,0
222,11.1,23113.0,0
223,11.15,23638.0,0
224,11.2,22493.0,0
225,11.25,23543.0,0
226,11.3,24870.0,0
227,11.35,24743.5,0
228,11.4,23582.0,0
229,11.45,23880.5,0
230,11.5,24208.0,0
231,11.55,23447.0,0
232,11.6,23366.0,0
233,11.65,25002.0,0
234,11.7,23880.0,0
235,11.75,23897.5,0
236,11.8,24279.5,0
237,11.85,25013.5,0
238,11.9,23812.0,0
239,11.95,25685.0,0
240,12.0,24312.5,0
241,12.05,23050.5,0
242,12.1,23408.0,0
243,12.15,21914.5,0
244,12.2,22409.5,0
245,12.25,24023.5,0
246,12.3,22026.5,0
247,12.35,24051.0,0
248,12.4,23055.0,0
249,12.45,24129.5,0
250,12.5,24235.0,0
251,12.55,23317.0,0
252,12.6,23227.5,0
253,12.65,24376.5,0
254,12.7,23448.0,0
255,12.75,24530.0,0
256,12.8,23518.0,0
257,12.85,24669.5,0
258,12.9,24393.0,0
259,12.95,22584.0,0
260,13.0,24061.0,0
261,13.05,25487.0,0
262,13.1,23846.0,0
263,13.15,25335.5,0
264,13.2,25096.0,0
265,13.25,25031.5,0
266,13.3,27197.0,0
267,13.35,26218.5,0
268,13.4,27990.0,0
269,13.45,28540.0,0
270,13.5,27709.0,0
271,13.55,28834.5,0
272,13.6,30687.0,0
273,13.65,31899.5,0
274,13.7,31144.0,0
275,13.75,31729.5,0
276,13.8,32941.0,0
277,13.85,31932.5,0
278,13.9,32174.0,0
279,13.95,33655.5,0
280,14.0,33173.5,0
281,14.05,32659.0,0
282,14.1,32654.0,0
283,14.15,30958.0,0
