frame,time_sec,track_id,center_x,center_y,collision_flag
1,0.05,0,929,379,0
1,0.05,1,1849,324,0
1,0.05,2,1740,271,0
1,0.05,3,803,238,0
1,0.05,4,1687,232,0
1,0.05,5,1532,228,0
1,0.05,6,623,199,0
1,0.05,7,1475,181,0
1,0.05,8,1466,119,0
1,0.05,9,608,31,0
2,0.1,0,931,381,0
2,0.1,1,1845,322,0
2,0.1,2,1737,271,0
2,0.1,5,1530,226,0
2,0.1,6,610,191,0
2,0.1,7,1472,179,0
2,0.1,8,1463,117,0
2,0.1,9,610,32,0
2,0.1,10,1782,373,0
2,0.1,11,1770,333,0
2,0.1,12,1638,256,0
2,0.1,13,634,212,0
2,0.1,14,517,19,0
2,0.1,15,547,14,0
3,0.15,0,931,379,0
3,0.15,1,1841,329,0
3,0.15,2,1735,269,0
3,0.15,5,1527,225,0
3,0.15,6,611,193,0
3,0.15,7,1469,181,0
3,0.15,8,1459,116,0
3,0.15,10,1778,374,0
3,0.15,11,1768,331,0
3,0.15,12,1630,255,0
3,0.15,13,636,214,0
4,0.2,0,936,386,0
4,0.2,1,1837,326,0
4,0.2,2,1738,268,0
4,0.2,5,1541,220,0
4,0.2,6,613,195,0
4,0.2,7,1466,175,0
4,0.2,8,1445,102,0
4,0.2,10,1774,373,0
4,0.2,12,1627,253,0
4,0.2,13,637,216,0
4,0.2,16,613,35,0
4,0.2,17,519,21,0
5,0.25,0,938,388,0
5,0.25,1,1834,325,0
5,0.25,2,1729,267,0
5,0.25,5,1539,220,0
5,0.25,6,615,197,0
5,0.25,7,1466,178,0
5,0.25,8,1453,112,0
5,0.25,10,1770,371,0
5,0.25,12,1624,252,0
5,0.25,13,639,218,0
5,0.25,16,615,36,0
5,0.25,17,520,23,0
5,0.25,18,1763,327,0
5,0.25,19,1676,224,0
5,0.25,20,1326,140,0
5,0.25,21,550,16,0
6,0.3,0,940,391,0
6,0.3,1,1829,322,0
6,0.3,2,1726,265,0
6,0.3,5,1536,218,0
6,0.3,6,616,199,0
6,0.3,7,1463,170,0
6,0.3,8,1449,110,0
6,0.3,10,1766,369,0
6,0.3,12,1623,250,0
6,0.3,13,641,220,0
6,0.3,16,617,37,0
6,0.3,19,1667,223,0
6,0.3,20,1323,137,0
7,0.35,0,944,395,0
7,0.35,1,1825,320,0
7,0.35,2,1724,252,0
7,0.35,5,1533,217,0
7,0.35,6,618,201,0
7,0.35,8,1445,109,0
7,0.35,10,1762,367,0
7,0.35,12,1620,249,0
7,0.35,13,643,223,0
7,0.35,16,619,40,0
7,0.35,19,1664,220,0
7,0.35,20,1324,135,0
7,0.35,22,552,18,0
8,0.4,0,944,392,0
8,0.4,1,1822,318,0
8,0.4,2,1722,251,0
8,0.4,5,1514,218,0
8,0.4,6,620,203,0
8,0.4,8,1443,107,0
8,0.4,10,1764,366,0
8,0.4,12,1619,247,0
8,0.4,13,644,225,0
8,0.4,16,621,40,0
8,0.4,19,1659,218,0
8,0.4,20,1322,136,0
8,0.4,23,1759,322,0
9,0.45,0,949,399,0
9,0.45,1,1817,316,0
9,0.45,2,1718,245,0
9,0.45,5,1528,213,0
9,0.45,6,621,205,0
9,0.45,8,1439,105,0
9,0.45,10,1757,362,0
9,0.45,12,1627,245,0
9,0.45,13,646,227,0
9,0.45,16,623,42,0
9,0.45,19,1656,216,0
